Date,Open,High,Low,Close,Volume
2017-01-03 14:30:00,168.48,170.68,164.64,168.04,3467695.0
2017-01-04 14:30:00,168.08,169.04,166.26,168.84,2656870.0
2017-01-05 14:30:00,169.52,170.08,166.6,168.32,2582248.0
2017-01-06 14:30:00,168.76,169.08,166.32,167.08,2400385.0
2017-01-09 14:30:00,165.32,165.6,162.28,162.4,2702776.0
2017-01-10 14:30:00,163.12,164.32,161.88,162.4,2610421.0
2017-01-11 14:30:00,162.52,164.36,161.764,164.0,3509578.0
2017-01-12 14:30:00,165.84,165.88,162.34,162.88,3301749.0
2017-01-13 14:30:00,161.68,163.16,161.48,161.88,3276208.0
2017-01-17 14:30:00,164.2,165.68,163.6,164.44,4555624.0
2017-01-18 14:30:00,162.68,165.48,162.3,164.2,2024559.0
2017-01-19 14:30:00,164.6,165.0444,162.72,163.76,1932169.0
2017-01-20 14:30:00,165.32,166.04,163.8,164.52,2635486.0
2017-01-23 14:30:00,163.44,164.08,162.0,162.8,2729512.0
2017-01-24 14:30:00,163.96,166.4,163.66,165.36,2461408.0
2017-01-25 14:30:00,165.2,167.76,165.08,166.44,2510272.0
2017-01-26 14:30:00,167.92,168.52,166.76,167.2,1966795.0
2017-01-27 14:30:00,166.12,167.0,164.64,165.2,2254785.0
2017-01-30 14:30:00,164.28,164.28,158.36,160.64,3356608.0
2017-01-31 14:30:00,160.88,161.0,158.44,160.32,2879442.0
2017-02-01 14:30:00,161.32,162.2,157.24,159.12,3474185.0
2017-02-02 14:30:00,159.24,161.18,157.24,160.2,2711898.0
2017-02-03 14:30:00,160.88,163.36,159.8,162.72,3129479.0
2017-02-06 14:30:00,163.04,163.84,159.68,160.24,2293437.0
2017-02-07 14:30:00,159.72,160.24,155.08,156.36,5132982.0
2017-02-08 14:30:00,155.2,157.78,152.64,156.72,4808459.0
2017-02-09 14:30:00,158.6,160.12,157.92,159.6,2952502.0
2017-02-10 14:30:00,162.04,162.68,160.72,161.4,2500098.0
2017-02-13 14:30:00,160.6,161.72,159.44,160.12,1653217.0
2017-02-14 14:30:00,160.84,161.76,158.76,161.4,1790703.0
2017-02-15 14:30:00,161.08,161.92,159.92,160.76,2826818.0
2017-02-16 14:30:00,161.04,161.64,157.68,158.08,3569288.0
2017-02-17 14:30:00,157.64,158.48,156.46,157.28,3049713.0
2017-02-21 14:30:00,159.24,160.12,158.28,159.24,2566511.0
2017-02-22 14:30:00,157.88,158.08,154.44,154.64,3073192.0
2017-02-23 14:30:00,157.48,157.88,152.32,154.52,4581371.0
2017-02-24 14:30:00,153.4,153.88,150.84,151.48,4188934.0
